zip_code,median_household_income_acs2019,derived_income_quartile
05676,73583,3
05677,78889,3
05679,67333,3
05680,67931,3
05681,67917,3
05682,62727,3
05701,52282,2
05730,65625,3
05732,44375,1
05733,61864,3
05734,63529,3
05735,45900,1
05736,49643,2
05737,77750,3
05738,71538,3
05739,58929,2
05742,78542,3
05743,55714,2
05744,60703,2
05747,70417,3
05748,53750,2
05751,64231,3
05753,67772,3
05757,62566,3
05758,72917,3
05759,53618,2
05760,62857,3
05761,55000,2
05762,50781,2
05763,55217,2
05764,48991,2
05765,64528,3
05766,70893,3
05767,50089,2
05769,74485,3
05770,59511,2
05772,66964,3
05773,61250,3
05774,67917,3
05775,47917,1
05776,55795,2
05777,60104,2
05778,53958,2
05819,43641,1
05820,48214,2
05821,65568,3
05822,45921,1
05824,55069,2
05825,38750,1
05826,56354,2
05827,57188,2
05828,58421,2
05829,45052,1
05830,50250,2
05832,52339,2
05833,77661,3
05836,60875,2
05837,38750,1
05839,48929,2
05841,45000,1
05842,59135,2
05843,43652,1
05845,45729,1
05846,43000,1
05847,50625,2
05851,51101,2
05853,45000,1
05855,49750,2
05857,64104,3
05858,32917,1
05859,47708,1
05860,47864,1
05862,77778,3
05866,59750,2
05867,63417,3
05868,70000,3
05871,53523,2
05872,31111,1
05873,63382,3
05874,47188,1
05875,42000,1
05902,29167,1
05903,46635,1
05904,27981,1
05905,50089,2
05906,45625,1
05907,41250,1
06001,127230,4
06002,76717,3
06010,67507,3
06013,127353,4
06016,89029,4
06018,55000,2
06019,84828,4
06021,108000,4
06022,199097,4
06023,95699,4
06024,95972,4
06026,104336,4
06027,101397,4
06029,91042,4
06031,81815,3
06032,93497,4
06033,116766,4
06035,108571,4
06037,103702,4
06039,72604,3
06040,68974,3
06042,80516,3
06043,105772,4
06051,36634,1
06052,74340,3
06053,51283,2
06057,111788,4
06058,76354,3
06060,151417,4
06062,72175,3
06063,115926,4
06065,81667,3
06066,64642,3
06067,85125,4
06068,63788,3
06069,80000,3
06070,125192,4
06071,108370,4
06073,149226,4
06074,107374,4
06076,77228,3
06078,114053,4
06081,71049,3
06082,79730,3
06084,118194,4
06085,91801,4
06088,61889,3
06089,114556,4
06090,158320,4
06092,149500,4
06093,114500,4
06095,92132,4
06096,70067,3
06098,71981,3
06103,84469,4
06105,34623,1
